StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
9311, 13288, 17824, 850,,  2Tau2Eri, ,2.85065164,-21.00397890,56.0224089635854, 4.76,1.01819110224106,K0III       , 0.906
9312, 13291, 17674, , ,,,2.85116634,+30.28682012,47.1253534401508, 7.56,4.19372689782661,G0V         , 0.584
9313, 13293, 17910, , ,,,2.85172811,-40.96321916,558.659217877095, 7.15,-1.58573484510053,M2III       , 1.668
9314, 13294, 17673, , ,,,2.85187536,+30.50989955,207.03933747412, 7.68,1.09973565375756,K1III       , 1.200
9315, 13295, 18004, , ,,,2.85215842,-57.19253777,490.196078431373, 7.26,-1.1918491628705,K5III       , 1.526
9316, 13296, 17505, , ,,,2.85221562,+60.41774439,505.050505050505, 7.14,-1.37667404869234,O6e         , 0.322
9317, 13299, 18186, , ,,,2.8528255,-69.18510157,338.983050847458, 8.83,1.17911007989082,G8III       , 0.979
9318, 13300, 17593, , ,,,2.85283683,+49.35020977,480.769230769231, 8.53,0.120316674813807,A2          , 0.427
9319, 13304, 17928, , ,,,2.8535667,-45.99443541,143.67816091954, 8.20,2.41304619805281,A5/A6V      , 0.207
9320, 13303, 17761, , ,,,2.85357296,+08.28908481,208.333333333333, 8.54,1.94620618687794,F2          , 0.451
9321, 13307, 17990, , ,,,2.85372597,-54.44289267,209.643605870021, 8.22,1.61259189520057,A0/A1V      , 0.053
9322, 13306, 17762, , ,,,2.85372927,+04.44046714,125.628140703518, 8.67,3.17456533868835,G5          , 0.612
9323, 13308, 17520, , ,,,2.85401343,+60.38608060,2380.95238095238, 8.23,-3.6537535480105,O9V         , 0.257
9324, 13310, 17899, , ,,,2.8548172,-37.71368983,207.900207900208, 7.93,1.34072538186916,K0III       , 0.900
9325, 13311, 17672, , ,,,2.85518588,+36.31057588,100.908173562059, 8.01,2.99036827242638,F0          , 0.370
9326, 13313, 17791, , ,,,2.85566008,+02.17286450,714.285714285714, 7.12,-2.14935982160881,K5V         , 1.192
9327, 13314, 17779, , ,,,2.85578095,+03.05682280,258.397932816537, 7.40,0.338554825094559,F2          , 0.316
9328, 13315, 18003, , ,,,2.85605953,-55.07477728,96.9932104752667, 8.33,3.39629332641758,G3Vw        , 0.660
9329, 13316, 17808, , ,,,2.85623454,-02.99741896,287.35632183908, 7.82,0.527896219732907,A0          , 0.030
9330, 13317, 17884, , ,,,2.85626288,-30.43734792,71.3775874375446, 7.57,3.30219067642887,F5/F6V      , 0.491
9331, 13318, 17927, , ,,,2.85656596,-42.83147192,124.069478908189, 8.92,3.45167520902545,F6V         , 0.546
9332, 13319, 17592, , ,,,2.8565958,+52.42150132,497.512437810945, 8.50,0.0159802871024439,K2          , 1.190
9333, 13320, 17807, , ,,,2.85722193,-01.16483085,221.238938053097, 8.52,1.79569217405691,K0          , 1.000
9334, 13321, 17797, , ,,,2.85745536,-00.68791051,110.497237569061, 7.42,2.20324289602602,F2V         , 0.480
9335, 13325, 17882, , ,,,2.85807097,-27.63340104,280.112044817927, 8.80,1.56334108056097,F3V         , 0.438
